class_id,support,predicted,precision,recall,f1,roc_auc,average_precision
0,50,77,0.6233766233766234,0.96,0.7559055118110236,0.9819531531531531,0.6049974112542414
1,50,52,0.9038461538461539,0.94,0.9215686274509804,0.9995231231231232,0.8680220029290745
2,50,46,0.8913043478260869,0.82,0.8541666666666666,0.9947611611611611,0.7922932859450188
3,50,48,0.625,0.6,0.6122448979591836,0.9994438438438438,0.5280591431485306
4,50,64,0.5,0.64,0.5614035087719298,0.9986104104104104,0.43967513767566885
5,50,54,0.6851851851851852,0.74,0.7115384615384615,0.9973217217217216,0.5785317418265191
6,50,32,0.84375,0.54,0.6585365853658537,0.980645045045045,0.6347187083413897
7,50,0,0.0,0.0,0.0,0.9724386386386386,0.41838978260467247
8,50,96,0.5104166666666666,0.98,0.6712328767123288,0.9992348348348348,0.5014146059509448
9,50,52,0.9038461538461539,0.94,0.9215686274509804,0.9998576576576577,0.8700099627148807
10,50,53,0.9056603773584906,0.96,0.9320388349514563,0.9998422422422422,0.8830580164258395
11,50,50,0.94,0.94,0.94,0.9999087087087086,0.9082526806526806
12,50,45,0.9777777777777777,0.88,0.9263157894736842,0.9999479479479481,0.9310326797385621
13,50,89,0.550561797752809,0.98,0.7050359712230216,0.999947947947948,0.9849504950495049
14,50,46,1.0,0.92,0.9583333333333334,0.9999295295295296,0.9593142516398331
15,50,46,0.9782608695652174,0.9,0.9375,0.999953953953954,0.9385743174924166
16,50,49,0.8979591836734694,0.88,0.888888888888889,0.9998222222222223,0.8486047430132851
17,50,44,1.0,0.88,0.9361702127659575,0.9900794794794795,0.8997589173547172
18,50,46,0.9347826086956522,0.86,0.8958333333333334,0.9910548548548548,0.8407746373943211
19,50,49,1.0,0.98,0.98989898989899,0.9998990990990991,0.9830674846625767
20,50,43,1.0,0.86,0.924731182795699,0.9991717717717719,0.8969067448777843
21,50,53,0.8867924528301887,0.94,0.912621359223301,0.9911973973973973,0.8522970165442675
22,50,52,0.9423076923076923,0.98,0.9607843137254902,0.9999589589589589,0.9329853479853479
23,50,53,0.8867924528301887,0.94,0.912621359223301,0.9994248248248249,0.8461956404880934
24,50,50,0.98,0.98,0.98,0.9973367367367367,0.9605494321578003
25,50,95,0.49473684210526314,0.94,0.6482758620689655,0.9962488488488488,0.4720453629842557
26,50,0,0.0,0.0,0.0,0.9816684684684684,0.3396804966381602
27,50,88,0.5113636363636364,0.9,0.6521739130434783,0.9988312312312313,0.4799478034628529
28,50,0,0.0,0.0,0.0,0.9976498498498498,0.3667680304129959
29,50,57,0.7719298245614035,0.88,0.822429906542056,0.9844706706706707,0.6983503867894467
30,50,56,0.6785714285714286,0.76,0.7169811320754718,0.9726816816816817,0.6306439218955606
31,50,42,0.9047619047619048,0.76,0.8260869565217391,0.9998352352352352,0.8372895551783784
32,50,42,0.7142857142857143,0.6,0.6521739130434783,0.9853057057057057,0.5469778673053294
